LAD_nld_000137	abw_z0001_303	Papandreou ontving in negentienvijfenzestig een eredoctoraat van de Universiteit van Belgrado.
LAD_nld_000138	abw_z0001_710	Op het festival worden populair-wetenschappelijke documentaires getoond, waaronder sinds negentientweeënnegentig ook internationale documentaires.
LAD_nld_000139	abw_z0001_406	F C Amsterdam betaaldvoetbalclub F C Amsterdam was een Nederlandse voetbalclub uit Amsterdam.
LAD_nld_000140	abw_z0001_182	In Griekenland gebruikt men uitsluitend zeezout, dit bevat meer mineralen dan steenzout.
LAD_nld_000141	abw_z0002_133	S M Caen is de belangrijkste voetbalclub uit de stad.
LAD_nld_000142	abw_z0001_931	Ook na zes juni bleven de geallieerden radarinstallaties en verdedigingswerken rondom Calais intensief bombarderen.
LAD_nld_000143	abw_z0001_326	De zuidflank van de Grebbeberg was het eerste door de provincie Utrecht aangewezen aardkundig monument.
LAD_nld_000144	abw_z0001_574	Jaime heeft als interviewer meegewerkt aan de documentaireserie "Afrika, oorlog is Business".
LAD_nld_000145	abw_z0001_883	Onweersbuien en restanten van tropische cyclonen zijn hiervoor voor het grootste deel verantwoordelijk.
LAD_nld_000146	abw_z0001_408	In tweeduizend negen werd de overname van Atari Europe door Namco Bandai afgerond.
LAD_nld_000147	abw_z0001_332	Hij oefende een beslissende invloed uit op de totstandkoming van de liberale grondwet van achtienachtenveertig.
LAD_nld_000148	abw_z0001_361	Zodra hij zelf heeft gezet, is een eventuele onreglementaire zet definitief.
LAD_nld_000149	abw_z0001_530	Dergelijke criteria zijn duidelijkheid over de onderzoeksbegrippen en verbanden daartussen, nauwkeurigheid, verificatiemogelijkheid en consistentie.
LAD_nld_000150	abw_z0001_578	Aliasing wordt ook doelbewust gebruikt in onderzoek van snel roterende objecten.
LAD_nld_000151	abw_z0002_124	In vergelijking met andere transportmodi veroorzaken ze minder congestie en lawaaihinder.
LAD_nld_000152	abw_z0001_557	De anarchisten werden geroyeerd uit de tweede Internationale.
LAD_nld_000153	abw_z0001_940	Enkel de wiskunde en logica enerzijds en de empirische wetenschap anderzijds hanteerden zinvol taalgebruik.
LAD_nld_000154	abw_z0001_371	Vier jaar zou het front grosso modo ongewijzigd blijven.
LAD_nld_000155	abw_z0001_240	Hij studeerde in Lyon waar Edouard Herriot, lid van de radicaal socialistische partij, burgemeester was.
LAD_nld_000156	abw_z0001_797	Als voorbeeld geven we de formalisering van onze "optellende automaat" van hierboven.
LAD_nld_000157	abw_z0001_655	Eerst was er een massa energie genaamd chaos, waaruit yin en yang zijn ontstaan.
LAD_nld_000158	abw_z0001_190	De slag bij Sandepu eindigde in een fiasco.
LAD_nld_000159	abw_z0001_701	Rustige erupties waarbij vooral lava uitbarst en weinig pyroclastisch materiaal vrijkomt worden Hawaï-type erupties genoemd.
LAD_nld_000160	abw_z0001_316	De Duitsers wisten dat Caen een essentiële rol speelde in de plannen van de geallieerden.
LAD_nld_000161	abw_z0001_894	Dit hedendaagse "wapen" komt dan voor op het briefpapier, allerlei aktes, ambtstekens, diploma's en vlaggen.
LAD_nld_000162	abw_z0002_079	Eveneens wordt de heupkop vast gepositioneerd in de heupkom.
LAD_nld_000163	abw_z0001_907	Wel gaf Janet in een interview in tweeduizend acht aan dat dit zou gebeuren.
LAD_nld_000164	abw_z0001_188	Samen met de Saracenen en de Vikingen zullen zij gedurende de tiende eeuw Europa teisteren.
LAD_nld_000165	abw_z0001_231	Ook traden ze toe tot Da Mongoloids, opgericht door Armand Van Helden.
LAD_nld_000166	abw_z0001_273	In negentienzesenveertig ging hij journalistiek studeren, en werd daarna redacteur bij een uitgeverij en radiopresentator.
LAD_nld_000167	abw_z0001_067	In negentieneenenzeventig dreigde het hotel, inmiddels geleid door Jean Jacques Rey, te moeten sluiten.
LAD_nld_000168	abw_z0001_206	Het Politbureau bestond uit zowel stemhebbende en niet stemhebbende kandidaat leden.
LAD_nld_000169	abw_z0001_733	In de meetkunde wordt de zuidpoolcirkel een kleincirkel genoemd.
LAD_nld_000170	abw_z0001_645	"de Volkskrant"-recensist Gidi Heesakkers noemde dit onvermijdelijk en de serie een "grap".
LAD_nld_000171	abw_z0001_179	Bij zowel joden koosjere wijn als christenen wordt wijn in de eredienst gebruikt.
LAD_nld_000172	abw_z0001_312	In het seizoen tweeduizend twaalf - tweeduizend dertien speelde Laura van Doldron de voorstelling Oudejaarsconference.
LAD_nld_000173	abw_z0001_045	Op toernooien zijn er standaard vijftig minuten om maximaal drie games te spelen; het best-of-three-principe.
LAD_nld_000174	abw_z0002_048	Archipels zijn vaak vulkanische eilanden, die ontstaan langs oceanische ruggen of vulkanische hotspots.
LAD_nld_000175	abw_z0001_482	Met Lysikles' dood eindigen de contemporaine bronnen.
