M-AILABS_deu_000087	alter_afrikaner_16_f000037	Wie darf eine Magd, die stehen und die Arme queren muß, neben dem Bana im Zelte sitzen?
M-AILABS_deu_000088	Die_Kanzlerin_direkt_03_08_f000009	Das gilt nicht nur für die Physik, das gilt genauso für die Ingenieurwissenschaften, für die Informationstechnologie und viele andere Bereiche unseres Lebens.
M-AILABS_deu_000089	toten_seelen_07_f000221	Wenn du mit ähnlichen Redensarten paradieren willst, so gehe bitte in eine Kaserne. Dann fügte er hinzu: Wenn du sie mir nicht schenken willst, so verkaufe sie mir.
M-AILABS_deu_000090	Kanzlerin_30_16_f000030	Und trotzdem bringt uns das dazu, dass Geschichtsbildung wichtig ist.
M-AILABS_deu_000091	frankenstein_09_f000006	hielt Onkel davon ab, die Reise nach Ingolstadt zu unternehmen.
M-AILABS_deu_000092	ferien_vom_ich_016_f000158	das dritte und letzte Drittel aber ist zu Hochzeitsgeschenken für die in jedem Jahr Heiratenden bestimmt, von welcher Stiftung sich keines, auch nicht das wohlhabendste Brautpaar ausschließen soll, auch wenn es nur ein Blumensträußchen annimmt; den ärmeren aber soll ein guter Happen für den Nestbau gegeben werden.
M-AILABS_deu_000093	Kanzlerin_17_14_f000027	Es ist ja auch ganz erkennbar nicht so einfach, wenn man in die Geschichte schaut, dass solche Veränderungen auch akzeptiert werden, und deshalb sind bestimmte Veränderungen auch nur sehr langsam zu bekommen.
M-AILABS_deu_000094	tom_sawyer_09_f000065	Tatst dues, Tom? Tatst dues? Dafür vergebe ich dir wahrhaftig alles!
M-AILABS_deu_000095	das_letzte_marchen_011_f000138	Aber es war nicht selbstverständlich von vornherein, daß er sich das Wasser würde von Juvento einfüllen lassen, antwortete Dr. Schnugu gereizt, das konnte er sich von einem Priester, einem Diener oder sonst jemand eingießen lassen, und die Weisheit, dächte ich, könnte erst recht jeder begreifen.
M-AILABS_deu_000096	alter_afrikaner_27_f000052	Nein, aus Rehoboth.
M-AILABS_deu_000097	frankenstein_06_f000129	Ich bat ihn noch um Ratschläge betreffs der zu beschaffenden Bücher, worauf er sagte:
M-AILABS_deu_000098	grune_haus_10_f000036	Sie stellte alles andre sicher und ließ den kleinen Naschtieren nur ihren Weihnachtsbaum.
M-AILABS_deu_000099	frankenstein_07_f000010	aber er wuchs, je weiter ich fortschritt, und wurde schließlich so groß, daß oftmals die Sterne vor dem Morgenlicht verblichen, wenn ich noch in meinem Laboratorium saß.
M-AILABS_deu_000100	sterben_07_f000163	Wer weiß, was in dieser Luft des Südens schwebt! Geheimnisvolle Elemente, die wir noch gar nicht kennen.
M-AILABS_deu_000101	sandmann_3_f000032	Deshalb schreibe ich auch heute nicht an sie. Tausend Grüße etc. etc. etc.
M-AILABS_deu_000102	sterben_03_f000166	Aber was ich nicht will, daß du Tage und Nächte lang über mein Bett gebeugt dasitzt mit dem Gedanken:
M-AILABS_deu_000103	odysseus_10_f000178	Noch mehr! ich habe das Schiff gesehen, worauf ihn die Thesproter nach Hause senden wollten, sobald er von Dodona zurückkäme.
M-AILABS_deu_000104	mein_weg_als_deutscher_und_jude_005_f000169	Andrerseits geht es nicht an, Schicksale und Menschen nur um des Interessanten oder Ausnahmshaften, das ihnen eigen ist, an den Pranger zu stellen; was unbedingt des andern Eigentum ist,
M-AILABS_deu_000105	caspar_hauser_26_f000183	seine Heiterkeit traurig, und seine Ungeschicklichkeit gibt ihm die durchtriebensten Listen ein. Aus allem, was der Hauser tut und sagt,
M-AILABS_deu_000106	weihnachtsabend_01_f000089	Guten Nachmittag! sagte Scrooge.
M-AILABS_deu_000107	tschun_21_f000052	denn als er einmal aufschaute, bemerkte er, daß es Nacht geworden.
M-AILABS_deu_000108	das_letzte_marchen_007_f000477	Hause gehen wollt.
M-AILABS_deu_000109	tschun_09_f000120	ein Symbol höchsten Ranges und zugleich ein Schutz gegen jeden heftigeren Windhauch.
M-AILABS_deu_000110	maedchenvommoorhof_2_f000115	Auf einem Tisch am Fenster brannte ein kleines Lämpchen, und davor saß der Hausvater und flickte alte Schuhe.
M-AILABS_deu_000111	Kanzlerin_26_14_f000004	Ich habe diese Zeit glücklicherweise muss man heute sagen nicht miterleben müssen.
M-AILABS_deu_000112	liebesbriefe_07_f000066	Sie ward also erkannt auf Grund unvereinbarer Neigungen und Gewohnheiten, roher Mißhandlung von Seite des Mannes, wie Einsperrung in den Keller und rücksichtslose Ausstoßung auf die Straße,
M-AILABS_deu_000113	toten_seelen_21_f000018	Wo man schon ganz Spannung ist und nur einzusteigen und wegzufahren braucht?
M-AILABS_deu_000114	toten_seelen_16_f000074	Es läßt sich nicht mit Bestimmtheit sagen, ob in unserem Helden wirklich die Liebe erwacht war;
M-AILABS_deu_000115	menschenhasser_05_f000196	Kräk - kräk - kräk, die Zahmen duckten sich ins Gras, die Wilden reckten die Hälse, schrien kräk - kräk mit,
M-AILABS_deu_000116	toten_seelen_30_f000008	daß ihm anläßlich dieses Vorfalls die glückliche Idee gekommen wäre, eine neue Kommission zu bilden, welche Kommission zur Beaufsichtigung der Baukommission heißen würde;
M-AILABS_deu_000117	frankenstein_24_f000173	Von meinen Gedanken und Ängsten vermochte er mich ja nicht ganz zu befreien, denn auch im Traume quälten mich alle erdenklichen Dinge.
M-AILABS_deu_000118	sterben_04_f000108	Der nagte an den Lippen, und auf seiner Stirne lag ein mühsam zurückgedrängter Zorn.
