voxpopuli_spa_003785	20190918-0900-PLENARY-es_20190918-09:31:07_11	El actual responsable del caos tiene un nombre Boris Johnson.
voxpopuli_spa_003786	20131209-0900-PLENARY-14-es_20131209-18:01:31_1	A ello contribuirán la regionalización, la obligación de compartir datos científicos homogéneos, de manera sistemática, sobre la situación de las especies en la mar y la verdadera capacidad de las flotas.
voxpopuli_spa_003787	20091124-0900-PLENARY-19-es_20091124-23:37:31_7	De esta forma, vulneramos los derechos lingüísticos de 40 millones de europeas y europeos, y proteger estos derechos es una cuestión de principios, como lo ha dicho el propio Comisario.
voxpopuli_spa_003788	20150115-0900-PLENARY-3-es_20150115-09:29:53_8	La señora O'Reilly, primera mujer elegida para el cargo de Defensor del Pueblo Europeo, ha expresado asimismo su voluntad de trabajo en aras de la excelencia a través de su estrategia Hacia 2019, basada en tres pilares fundamentales que suscribo con entusiasmo Impacto, Relevancia y Visibilidad.
voxpopuli_spa_003789	20150520-0900-PLENARY-25-es_20150520-21:23:18_13	Confiamos en que, con ocasión de la Cumbre, Venezuela no sea protagonista por sus salidas de tono sino por su participación positiva.
voxpopuli_spa_003790	20141125-0900-PLENARY-14-es_20141125-16:52:56_7	¿A qué esperamos para adoptarlo?
voxpopuli_spa_003791	20090324-0900-PLENARY-9-es_20090324-16:29:56_15	Esperamos ahora que, de aquí al año que viene, los trabajos preparatorios y las reflexiones del grupo de expertos puesto en marcha por el Consejo y la Comisión, de acuerdo con el señor Maystadt, para reflexionar sobre el futuro del mandato exterior del Banco Europeo de Inversiones, así como la revisión estratégica del BERD, que también tendrá lugar
voxpopuli_spa_003792	20180912-0900-PLENARY-es_20180912-11:53:49_1	Lo comparto, pero me hubiera gustado que hubiese mayor resonancia de la en su discurso y menos de la de Beethoven, porque no se puede proponer nueva legislación cuando no se ha sido capaz de hacer cumplir el Derecho en vigor, ni de asegurar tampoco que la legislación ya puesta en marcha vea finalmente la luz del día.
voxpopuli_spa_003793	20141127-0900-PLENARY-3-es_20141127-10:00:19_5	En el mundo también hay 66 millones de niños en edad escolar que van al colegio pasando hambre.
voxpopuli_spa_003794	20110202-0900-PLENARY-11-es_20110202-19:05:14_1	Pero en el caso de Túnez aún estamos a tiempo.
voxpopuli_spa_003795	20180911-0900-PLENARY-es_20180911-11:22:01_2	del flujo migratorio.
voxpopuli_spa_003796	20150429-0900-PLENARY-24-es_20150429-22:36:18_5	Llevamos dos años de demora y tiene que buscar una solución inmediata para que 30 millones de personas puedan acceder a lo que llamamos hambre de lectura, así como a la educación, a la cultura, a la igualdad de oportunidades y a la participación social.
voxpopuli_spa_003797	20140917-0900-PLENARY-12-es_20140917-19:24:07_0	Señor Presidente, la gravísima situación de Libia es motivo de gran preocupación internacional hay muchísima violencia y una aguda división, fragmentación y polarización políticas.
voxpopuli_spa_003798	20100210-0900-PLENARY-9-es_20100210-17:48:45_14	Nos preocupa analizar el conjunto de las políticas que en cada uno de los países estamos llevando a cabo para evitar estos procesos de radicalización, que, ciertamente, están en la base de una buena parte de los atentados terroristas que hemos sufrido en los últimos años.
voxpopuli_spa_003799	20150309-0900-PLENARY-13-es_20150309-22:47:07_4	¡Ojalá pudieran!
